building,long_name,area,year_built,percent_class,percent_lab,percent_library,percent_office,building_type_EWS,building_type_mod,area_grouping,year_built_grouping
AERL,Aquatic Ecosystems Research Laboratory,5368,2005,0.06,0.05,0,0.46,office,office,,2005
Allard_Hall,Allard Hall,14909,2011,0.08,0,0.2,0.2,office,office,,2010
Alumni_Centre,Robert H Lee Alumni Centre,4106,2015,0,0,0,0.18,,office,,2015
AMS_Nest,AMS Student Nest,22933,2015,0,0,0,0.07,,student,,2015
Ansoc,Anthropology and Sociology Building,6220,1950,0.07,0.1,0,0.356,office,office,,1950
Aquatic_Centre,Aquatic Centre,8041,2017,0,0,0,0,recreational,recreational,,2015
Asian_Centre,Asian Centre,4926,1975,0,0.03,0.42,0.14,library,library,,1975
Auditorium_Annex,Auditorium Annex Offices A,2431,1969,0,0,0,0,others,office,,1965
Baseball_Training_Facility,Baseball Training Facility,1224,2015,0,0,0,0.05,recreational,recreational,,2015
BC_Binning,B.C. Binning Studios,1501,1925,0.03,0.51,0,0.15,,lab,,1925
Beaty,Beaty Biodiversity Centre,12466,2009,0,0.21,0,0.13,lab,lab,,2005
Belkin_Art_Gallery,Morris and Helen Belkin Art Gallery,1504,1995,0,0,0,0.12,,others,,1995
Bio_Sci_South,Biological Sciences Building - South Wing,5441,2011,0,0.42,0,0.14,lab,lab,,2010
Bio_Sci_West,Biological Sciences Building - West Wing,8021,2011,0.04,0.36,0,0.1,lab,lab,,2010
Biomed,Biomedical Research Centre,4407,1987,0,0.47,0,0.1,lab,lab,,1985
Bookstore-NCE,Bookstore,10053,1983,0,0,0,0.03,,others,,1980
Boulevard_Lot,MacInnes Field Underground Parkade,6168,2019,0,0,0,0,,parkade,,2015
BRDF,Bioenergy Research and Demonstration Facility,2200,2012,0,0,0,0,,lab,,2010
Brimacombe-QMI,The Brimacombe Building,13781,1995,0,0.28,0,0.05,lab,lab,,1995
Brock_Hall,Brock Hall - West Wing,5907,1940,0,0,0,0.37,office,office,,1940
Buchanan_ABC,"Buchanan A,B,C",10936,2007,0.31,0.04,0,0.18,classroom,classroom,,2005
Buchanan_DE,"Buchanan D,E",7134,2007,0.28,0.01,0,0.25,classroom,classroom,,2005
Buchanan_Tower,Buchanan Tower,10728,1972,0.03,0.01,0,0.4,office,office,,1970
Campus_Energy_Centre,Campus Energy Centre,2000,2016,0,0,0,0,,others,,2015
CCM,Centre for Comparative Medicine,10367,2011,0,0.52,0,0.06,office,office,,2010
CEME,Civil and Mechanical Engineering Building,9361,1976,0.06,0.29,0,0.32,lab,lab,,1975
CEME_Labs,Civil and Mechanical Engineering Laboratories,5636,1971,0.01,0.48,0,0.1,lab,lab,,1970
Central,Central,7000,2019,0,0,0,0,,others,,2015
Centre_for_Brain_Health,Djavad Mowafaghian Centre for Brain Health,15441,2014,0,0.14,0,0.2,,lab,,2010
Chan_Centre,Chan Centre for The Performing Arts,11440,1997,0,0,0,0.02,recreational_others,recreational,,1995
Chan_Gunn,Chan Gunn Centre,1806,2017,0,0,0,0,,others,,2015
Chem_Bio,Chemical & Biological Engineering Building,14030,2005,0.06,0.33,0,0.15,lab,lab,,2005
Chem_Centre,"Chemistry D Block, Centre Wing",7274,2008,0.06,0.37,0,0.16,lab,lab,,2005
Chem_East,"Chemistry C Block, East Wing",3573,1963,0.07,0.49,0,0.03,lab,lab,,1960
Chem_North,"Chemistry E Block, North Wing",2739,2006,0,0.53,0,0.09,lab,lab,,2005
Chem_Phys,"Chemistry A Block, Chemistry Physics Building",7805,1989,0,0.45,0,0.16,lab,lab,,1985
Chem_South,"Chemistry E Block, North Wing",5373,1959,0.1,0.42,0,0.09,lab,lab,,1955
CICSR,"Institute for Computing, Information and Cognitive Systems / Computer Science Addition",9668,2005,0,0.47,0,0.16,,lab,,2005
CIRS,Centre for Interactive Research on Sustainability [CIRS],5454,2011,0.08,0.04,0,0.27,office,office,,2010
CK_Choi,C. K. Choi Building for The Institute of Asian Research,2912,1996,0.01,0.03,0,0.42,office,office,,1995
Coal_&_Mineral,Coal and Mineral Processing Laboratory,2950,1981,0,0.44,0,0.03,,lab,,1980
Continuing_Studies,Continuing Studies Building,3813,1997,0,0,0,0,,office,,1995
Cunningham,George Cunningham Building,4901,1960,0,0,0,0.07,,office,,1960
David_Lam,David Lam Management Research Centre,6751,1992,0.02,0.01,0.25,0.1,library,library,,1990
Doug_Mitchell_Thunderbird_Sports_Centre,Doug Mitchell Thunderbird Sports Centre,25227,2008,0,0,0,0.06,,recreational,,2005
EDC,Wayne and William White Engineering Design Centre,2645,2011,0,0.45,0,0.05,,lab,,2010
EOS,Earth and Ocean Sciences  - Main,10799,1971,0.01,0.55,0,0.15,lab,lab,,1970
ESB,Earth Sciences Building,17755,2012,0.06,0.22,0,0.25,office,office,,2010
ESC,Engineering Student Centre,953,2015,0,0,0,0,,student,,2015
Exchange_Residence,Exchange Residence,26165,2019,0,0,0,0,,residential,,2015
FNH,"Food, Nutrition and Health Building",5962,1982,0.08,0.26,0,0.17,lab,lab,,1980
Focal,Central,6750,2020,0,0,0,0,,others,,2020
Forest_Sci,Forest Sciences Centre,22459,1998,0.07,0.31,0,0.17,,lab,,1995
Frank_Forward,Frank Forward Building,7880,1968,0.06,0.29,0,0.22,lab,lab,,1965
