id,navName,equipRef,buildingRef,units,hisStart,hisEnd,isUnsorted,isMainMeter,isSubmeter,meterType
p:ubcv:r:263b76d4-e14c58cf,Energy,Michael Smith Elec Main Meter,Michael_Smith,kWh,2011-03-31 17:00:00-07:00,2020-11-30 10:30:00-08:00,FALSE,TRUE,FALSE,Elec
p:ubcv:r:215308ce-baacd8cd,Energy,Totem Park Res - Qelexen/Hemlesen Elec Main Meter,Totem_Park_Res-QelexenHemlesen,kWh,2011-09-26 12:00:00-07:00,2020-11-30 03:15:00-08:00,FALSE,TRUE,FALSE,Elec
p:ubcv:r:26572091-605c1a6d,Energy,ULTL Elec Main Meter,ULTL,kWh,2019-12-16 14:30:00-08:00,2020-11-30 10:30:00-08:00,FALSE,TRUE,FALSE,Elec
p:ubcv:r:24954741-33533274,Energy,Gage Res - South HW Main Meter,Gage_Res-South,kWh,2020-08-06 16:00:00-07:00,2020-11-30 10:40:00-08:00,FALSE,TRUE,FALSE,HotWater
p:ubcv:r:2094f3ac-4aa7fbd6,Energy,Biomed HW Main Meter,Biomed,kWh,2016-09-01 00:00:00-07:00,2020-11-30 10:40:00-08:00,FALSE,TRUE,FALSE,HotWater
p:ubcv:r:207fea97-7667452c,Energy,Forest Sci HW Main Meter,Forest_Sci,kWh,2016-03-10 15:45:00-08:00,2020-11-30 10:40:00-08:00,FALSE,TRUE,FALSE,HotWater
p:ubcv:r:263b76ae-2e0eeedb,Energy,Woodward IRC Elec Main Meter,Woodward_IRC,kWh,2011-03-31 17:00:00-07:00,2020-11-30 10:30:00-08:00,FALSE,TRUE,FALSE,Elec
p:ubcv:r:263b76cf-06211d0f,Energy,MEDC Elec Main Meter,MEDC,kWh,2011-03-31 17:00:00-07:00,2020-11-30 10:30:00-08:00,FALSE,TRUE,FALSE,Elec
p:ubcv:r:21693dee-72496b35,Energy,Continuing Studies HW Main Meter,Continuing_Studies,kWh,2017-10-04 13:45:00-07:00,2020-11-30 10:40:00-08:00,FALSE,TRUE,FALSE,HotWater
p:ubcv:r:21691ecd-1035d926,Energy,AMS Nest HW Main Meter,AMS_Nest,kWh,2018-03-06 00:00:00-08:00,2020-11-30 10:40:00-08:00,FALSE,TRUE,FALSE,HotWater
